genus,alley_tree,sponsorship,height,trunk_circumference,crown_diameter
Maple,0,0,15.0,0.9739,8.0
Birch,0,0,10.0,0.5341,5.0
sophora,1,0,6.0,0.2,1.0
Willow,0,0,13.0,1.1938,2.0
ulmus,0,0,6.0,0.18,1.0
Willow,0,0,12.0,1.1624,2.0
Oak,0,0,11.0,0.5655,2.0
pinus,0,0,13.0,1.6336000000000002,7.0
Birch,0,0,12.0,1.0053,3.0
alnus,0,0,13.0,1.0053,1.0
Cherry,1,0,8.0,0.5027,5.0
Birch,0,0,6.0,0.18,1.0
Poplar,0,0,27.0,1.9164,2.9
Cherry,0,0,8.0,0.5341,1.0
pinus,0,0,4.0,0.2,1.0
Birch,0,0,5.0,0.5341,2.5
Ash,0,0,6.0,0.5655,1.0
malus,0,0,5.0,0.18,1.0
Oak,0,0,14.0,2.3562,2.0
corylus,1,0,7.0,0.5969,4.0
Oak,0,0,14.0,1.1624,2.0
Poplar,0,0,10.0,2.3,3.0
Oak,0,0,10.0,0.6283,2.0
Oak,0,0,6.0,1.0053,2.0
Oak,0,0,13.0,1.2566,2.0
Lime,0,0,8.0,1.0996,5.0
Oak,0,0,12.0,0.8795999999999999,2.0
thuja,0,0,16.0,1.4765,5.0
Oak,0,0,14.0,1.0996,2.0
Oak,0,0,14.0,1.1624,2.0
Oak,0,0,15.0,1.2566,2.0
Oak,0,0,13.0,0.6912,2.0
Oak,0,0,14.0,1.665,2.0
Oak,0,0,14.0,1.665,2.0
aesculus,0,0,12.0,1.131,7.5
Oak,0,0,14.0,1.2881,2.0
Maple,0,0,6.0,0.9425,2.8
Oak,0,0,11.0,1.1624,2.0
Willow,0,0,13.0,1.0681,2.0
